epoch	train_loss	valid_loss	mse	mae	time
122	2.873442	0.736892	0.736892	0.685396	02:12
123	2.862908	0.791149	0.791149	0.697305	02:12
124	2.854568	0.777843	0.777843	0.708299	02:12
125	2.816162	0.702284	0.702284	0.671487	02:13
126	2.752986	0.713825	0.713825	0.667093	02:16
127	2.714416	0.718592	0.718592	0.669525	02:12
128	2.680875	0.648924	0.648924	0.630726	02:12
129	2.676778	0.647728	0.647728	0.626310	02:13
130	2.621448	0.664181	0.664181	0.646395	02:13
131	2.579627	0.661888	0.661888	0.650345	02:12
132	2.569043	0.589596	0.589596	0.607055	02:12
133	2.537729	0.667373	0.667373	0.636579	02:14
134	2.515031	0.624162	0.624162	0.625877	02:13
135	2.474897	0.626025	0.626025	0.625716	02:12
136	2.457222	0.636716	0.636716	0.626434	02:12
137	2.411623	0.680355	0.680355	0.662776	02:13
138	2.369094	0.563287	0.563287	0.595275	02:12
139	2.349056	0.495852	0.495852	0.545198	02:13
140	2.310921	0.522091	0.522091	0.569014	02:12
141	2.300802	0.543950	0.543950	0.575354	02:12
142	2.280455	0.514943	0.514943	0.553446	02:12
143	2.221212	0.543368	0.543368	0.580202	02:13
144	2.179827	0.580431	0.580431	0.598735	02:12
145	2.158530	0.505408	0.505408	0.556869	02:12
146	2.135128	0.493769	0.493769	0.541497	02:12
147	2.107051	0.495659	0.495659	0.537195	02:12
148	2.071978	0.488216	0.488216	0.534161	02:12
149	2.031407	0.447843	0.447843	0.511666	02:12
150	1.998471	0.444969	0.444969	0.511938	02:12
151	1.954399	0.480780	0.480780	0.531353	02:13
152	1.919145	0.445265	0.445265	0.504955	02:12
153	1.906589	0.475771	0.475771	0.537688	02:17
154	1.879468	0.438766	0.438766	0.509942	02:12
155	1.832909	0.432680	0.432680	0.508655	02:12
156	1.813485	0.406975	0.406975	0.480936	02:12
157	1.779304	0.422759	0.422759	0.494563	02:14
158	1.766658	0.428020	0.428020	0.493364	02:12
159	1.742513	0.441174	0.441174	0.506176	02:11
160	1.737894	0.409203	0.409203	0.483408	02:15
161	1.719928	0.422463	0.422463	0.494312	02:12
162	1.706935	0.414643	0.414643	0.484175	02:13
163	1.658731	0.394450	0.394450	0.471762	02:12
164	1.618285	0.385079	0.385079	0.462221	02:13
165	1.608774	0.363823	0.363823	0.457951	02:12
166	1.600034	0.350590	0.350590	0.446815	02:13
167	1.575292	0.345736	0.345736	0.434689	02:12
168	1.568344	0.358365	0.358365	0.439085	02:13
169	1.527338	0.383726	0.383726	0.452384	02:12
170	1.500363	0.377662	0.377662	0.454579	02:12
171	1.480568	0.355486	0.355486	0.452922	02:13
172	1.453343	0.336421	0.336421	0.419875	02:12
173	1.451167	0.349918	0.349918	0.434737	02:13
174	1.380126	0.345832	0.345832	0.422733	02:12
175	1.372634	0.389191	0.389191	0.462578	02:12
176	1.345979	0.327305	0.327305	0.429760	02:13
177	1.335468	0.329095	0.329095	0.413059	02:12
178	1.297047	0.294936	0.294936	0.391967	02:13
179	1.271833	0.320703	0.320703	0.414489	02:13
180	1.238889	0.326809	0.326809	0.412063	02:16
181	1.220608	0.315524	0.315524	0.410061	02:12
182	1.200812	0.306120	0.306120	0.397507	02:20
183	1.176889	0.299807	0.299807	0.390133	02:12
184	1.161535	0.324242	0.324242	0.414600	02:13
185	1.136150	0.325127	0.325127	0.405701	02:13
186	1.128936	0.297792	0.297792	0.384145	02:12
187	1.113156	0.291265	0.291265	0.384913	02:15
188	1.093639	0.282677	0.282677	0.375216	02:13
189	1.068154	0.285032	0.285032	0.378944	02:12
190	1.042643	0.277373	0.277373	0.369525	02:12
191	1.021789	0.282931	0.282931	0.376271	02:13
192	1.009001	0.296183	0.296183	0.384034	02:13
193	1.010921	0.269657	0.269657	0.368320	02:13
194	0.979612	0.265905	0.265905	0.374774	02:12
195	0.964381	0.258841	0.258841	0.360225	02:12
196	0.952143	0.267923	0.267923	0.362282	02:12
197	0.940882	0.255216	0.255216	0.352857	02:12
198	0.930315	0.265904	0.265904	0.357543	02:13
199	0.911441	0.263767	0.263767	0.356550	02:12
200	0.882777	0.265605	0.265605	0.353021	02:12
201	0.863190	0.261634	0.261634	0.358438	02:12
202	0.865572	0.247920	0.247920	0.344646	02:12
203	0.850045	0.262550	0.262550	0.348215	02:13
204	0.848643	0.270358	0.270358	0.354631	02:11
205	0.827994	0.247490	0.247490	0.342034	02:12
206	0.822319	0.256715	0.256715	0.345025	02:12
207	0.813615	0.249930	0.249930	0.345443	02:16
208	0.798062	0.260861	0.260861	0.344492	02:12
209	0.789037	0.250261	0.250261	0.341113	02:12
210	0.787298	0.258650	0.258650	0.351382	02:12
211	0.767673	0.244298	0.244298	0.339180	02:13
212	0.755232	0.240038	0.240038	0.320742	02:13
213	0.737777	0.252058	0.252058	0.331798	02:12
214	0.724486	0.232174	0.232174	0.320908	02:15
215	0.710511	0.222255	0.222255	0.321492	02:12
216	0.697053	0.251625	0.251625	0.338183	02:13
217	0.693321	0.246092	0.246092	0.332656	02:12
218	0.675007	0.239859	0.239859	0.326307	02:12
219	0.675133	0.238489	0.238489	0.325361	02:12
220	0.664794	0.236680	0.236680	0.323305	02:12
221	0.658910	0.234300	0.234300	0.325533	02:13
222	0.643892	0.218827	0.218827	0.301001	02:13
223	0.656274	0.242715	0.242715	0.323226	02:13
224	0.643721	0.225966	0.225966	0.312471	02:12
225	0.621542	0.226706	0.226706	0.313848	02:13
226	0.621543	0.228938	0.228938	0.310947	02:12
227	0.615113	0.223808	0.223808	0.308438	02:12
228	0.594946	0.225121	0.225121	0.307975	02:12
229	0.573348	0.226846	0.226846	0.309537	1:05:07
230	0.571112	0.229428	0.229428	0.313413	02:36
231	0.557870	0.216595	0.216595	0.294968	02:38
232	0.555761	0.213002	0.213002	0.302233	02:38
233	0.543953	0.199487	0.199487	0.285825	02:53
234	0.534414	0.212356	0.212356	0.295130	02:47
235	0.528421	0.222237	0.222237	0.306058	02:42
236	0.526334	0.212248	0.212248	0.292479	02:37
237	0.509056	0.211407	0.211407	0.299696	02:42
238	0.505779	0.213622	0.213622	0.297000	02:35
239	0.511139	0.207911	0.207911	0.295731	02:28
240	0.501733	0.218244	0.218244	0.292704	02:35
241	0.490334	0.214323	0.214323	0.298302	02:46
242	0.486183	0.217960	0.217960	0.294242	02:43
243	0.465896	0.203847	0.203847	0.282252	02:51
244	0.462504	0.193468	0.193468	0.281303	02:51
245	0.457492	0.196363	0.196363	0.283243	02:35
246	0.455897	0.209851	0.209851	0.296269	02:28
247	0.458554	0.211219	0.211219	0.294235	02:28
248	0.446324	0.203521	0.203521	0.284521	02:36
249	0.436406	0.196797	0.196797	0.278697	02:40
250	0.434899	0.200129	0.200129	0.284060	02:39
251	0.425692	0.194189	0.194189	0.276126	02:37
252	0.430526	0.216387	0.216387	0.298596	02:32
253	0.430435	0.214029	0.214029	0.288424	02:37
254	0.424961	0.205757	0.205757	0.286753	02:32
255	0.424045	0.200834	0.200834	0.290900	02:37
256	0.405784	0.196606	0.196606	0.278020	02:30
257	0.402855	0.194247	0.194247	0.278273	03:05
258	0.404571	0.210702	0.210702	0.293680	03:04
259	0.404898	0.202240	0.202240	0.277823	02:32
260	0.403416	0.192386	0.192386	0.279424	02:28
261	0.392765	0.194357	0.194357	0.275362	02:39
262	0.387958	0.199933	0.199933	0.286270	02:43
263	0.381771	0.196913	0.196913	0.278041	02:38
264	0.380645	0.204755	0.204755	0.280540	02:27
265	0.381986	0.193777	0.193777	0.277012	02:28
266	0.376229	0.188124	0.188124	0.269573	02:18
267	0.370263	0.192622	0.192622	0.279743	02:24
268	0.375383	0.191538	0.191538	0.269432	02:39
269	0.371211	0.204293	0.204293	0.281270	02:47
270	0.360921	0.204066	0.204066	0.277917	02:36
271	0.351827	0.183859	0.183859	0.267454	02:38
272	0.354441	0.183852	0.183852	0.267169	02:36
273	0.357519	0.191495	0.191495	0.274051	02:17
274	0.353173	0.208710	0.208710	0.285013	02:18
275	0.345560	0.197735	0.197735	0.275785	02:21
276	0.353354	0.196481	0.196481	0.275716	02:17
277	0.346639	0.194723	0.194723	0.267115	02:17
278	0.343394	0.193428	0.193428	0.273200	02:17
279	0.336649	0.196477	0.196477	0.280097	02:20
280	0.330816	0.192546	0.192546	0.274954	02:17
281	0.333998	0.192046	0.192046	0.265726	02:17
282	0.329035	0.185415	0.185415	0.266058	02:26
283	0.322930	0.195890	0.195890	0.276371	02:38
284	0.328876	0.197099	0.197099	0.275296	02:32
285	0.320619	0.189344	0.189344	0.266821	02:25
286	0.320213	0.189608	0.189608	0.270359	02:17
287	0.316464	0.186523	0.186523	0.268877	02:19
288	0.314804	0.198308	0.198308	0.271506	02:17
289	0.312664	0.196495	0.196495	0.272107	02:17
290	0.313431	0.188530	0.188530	0.265949	02:16
291	0.308594	0.190927	0.190927	0.268276	02:17
292	0.310246	0.191271	0.191271	0.270641	02:16
293	0.311678	0.195971	0.195971	0.268241	02:17
294	0.305649	0.186868	0.186868	0.267081	02:17
295	0.305483	0.188287	0.188287	0.271391	02:17
296	0.293123	0.178950	0.178950	0.256960	02:17
297	0.295627	0.190638	0.190638	0.269868	02:18
298	0.293897	0.178257	0.178257	0.269473	02:17
299	0.294690	0.183948	0.183948	0.261348	02:18
300	0.291460	0.176257	0.176257	0.261444	02:20
301	0.286408	0.179552	0.179552	0.264039	02:39
302	0.283896	0.186752	0.186752	0.263138	02:55
303	0.281890	0.192432	0.192432	0.276058	02:58
304	0.285644	0.186096	0.186096	0.265997	02:42
305	0.291164	0.185844	0.185844	0.270593	03:24
306	0.288375	0.182866	0.182866	0.267433	03:26
307	0.282163	0.180552	0.180552	0.262379	03:26
308	0.288569	0.178922	0.178922	0.260825	03:26
309	0.282863	0.183493	0.183493	0.264394	03:28
310	0.285158	0.171049	0.171049	0.256673	03:28
311	0.284473	0.180790	0.180790	0.263954	03:26
312	0.286960	0.171862	0.171862	0.261788	03:31
313	0.282427	0.172990	0.172990	0.258432	03:26
314	0.276360	0.187373	0.187373	0.265327	03:26
315	0.270539	0.187572	0.187572	0.265187	03:21
316	0.266954	0.171972	0.171972	0.253464	02:34
317	0.264867	0.177493	0.177493	0.261434	02:39
318	0.272044	0.185357	0.185357	0.264128	03:00
319	0.274563	0.178844	0.178844	0.253629	02:49
320	0.268187	0.184485	0.184485	0.262120	02:47
321	0.272413	0.175859	0.175859	0.253959	02:47
322	0.275561	0.180696	0.180696	0.265046	02:52
323	0.280110	0.181003	0.181003	0.262293	02:49
324	0.275428	0.185335	0.185335	0.265017	02:47
325	0.272131	0.172096	0.172096	0.255796	02:46
326	0.267832	0.171436	0.171436	0.254893	02:25
327	0.273840	0.185694	0.185694	0.266285	02:18
328	0.263929	0.177960	0.177960	0.258262	02:19
329	0.267477	0.175631	0.175631	0.261096	02:18
330	0.265297	0.184208	0.184208	0.259601	02:18
331	0.272253	0.185070	0.185070	0.265490	02:18
332	0.271322	0.181569	0.181569	0.263472	02:19
333	0.263168	0.184351	0.184351	0.261408	02:17
334	0.264658	0.173351	0.173351	0.255810	02:18
335	0.258016	0.180343	0.180343	0.260992	02:18
336	0.261454	0.183154	0.183154	0.266110	02:17
337	0.265535	0.173934	0.173934	0.265031	02:18
338	0.262397	0.170309	0.170309	0.252445	02:18
339	0.259901	0.179390	0.179390	0.261851	02:19
340	0.261284	0.173368	0.173368	0.256320	02:18
341	0.256254	0.181234	0.181234	0.259600	02:17
342	0.250914	0.171561	0.171561	0.253899	02:19
343	0.252981	0.166749	0.166749	0.253705	02:17
344	0.253726	0.171169	0.171169	0.251411	02:19
345	0.259833	0.177339	0.177339	0.253818	02:21
346	0.262298	0.172648	0.172648	0.249953	02:18
347	0.252348	0.178339	0.178339	0.259996	02:17
348	0.256745	0.167208	0.167208	0.251928	02:20
349	0.252242	0.170218	0.170218	0.256647	02:18
350	0.251868	0.172052	0.172052	0.249794	02:18
351	0.250317	0.168190	0.168190	0.255149	02:18
352	0.254070	0.177852	0.177852	0.252996	02:21
353	0.255969	0.172177	0.172177	0.252643	02:20
354	0.251864	0.163192	0.163192	0.249887	02:20
355	0.248628	0.170763	0.170763	0.250732	02:19
356	0.239437	0.174244	0.174244	0.247882	02:18
357	0.239191	0.178437	0.178437	0.255739	02:18
358	0.241861	0.169189	0.169189	0.246948	02:19
359	0.243537	0.164325	0.164325	0.247531	05:16
360	0.246878	0.168592	0.168592	0.250805	09:01
361	0.243197	0.166281	0.166281	0.246838	08:51
362	0.249490	0.167916	0.167916	0.248477	08:28
363	0.244179	0.167508	0.167508	0.245156	07:58
364	0.245062	0.167197	0.167197	0.248178	08:12
365	0.235954	0.171676	0.171676	0.254910	08:54
366	0.239095	0.162754	0.162754	0.244935	08:36
367	0.242033	0.170156	0.170156	0.247326	08:27
368	0.240139	0.174102	0.174102	0.252449	08:30
369	0.241278	0.167126	0.167126	0.250208	09:27
370	0.249145	0.163995	0.163995	0.244737	10:20
371	0.245172	0.180850	0.180850	0.258801	09:27
372	0.247024	0.176950	0.176950	0.255523	07:55
373	0.246280	0.161684	0.161684	0.249221	08:07
374	0.248946	0.164044	0.164044	0.242819	06:45
375	0.248059	0.171053	0.171053	0.256172	07:40
376	0.247510	0.167650	0.167650	0.248186	07:58
377	0.245856	0.166617	0.166617	0.247485	08:07
378	0.238653	0.166051	0.166051	0.246120	07:57
379	0.234880	0.167707	0.167707	0.244180	07:50
380	0.231891	0.171356	0.171356	0.253862	03:46
381	0.234553	0.161068	0.161068	0.246400	02:20
382	0.234535	0.163732	0.163732	0.250127	02:20
383	0.236691	0.167335	0.167335	0.251971	02:19
384	0.233380	0.172318	0.172318	0.251381	02:20
385	0.234238	0.160936	0.160936	0.247196	02:19
386	0.234061	0.170015	0.170015	0.247553	02:20
387	0.238425	0.167954	0.167954	0.249118	02:20
388	0.239655	0.167550	0.167550	0.254491	02:20
389	0.247812	0.167506	0.167506	0.252386	02:20
390	0.240352	0.175147	0.175147	0.252856	02:20
391	0.243372	0.167329	0.167329	0.246481	02:20
392	0.243029	0.160776	0.160776	0.242894	02:20
393	0.242890	0.166971	0.166971	0.244385	02:22
394	0.246384	0.163118	0.163118	0.245583	02:20
395	0.243904	0.157538	0.157538	0.246015	02:20
396	0.241822	0.163405	0.163405	0.245709	02:19
397	0.236098	0.166637	0.166637	0.248854	02:23
398	0.234140	0.168980	0.168980	0.249651	02:20
399	0.234589	0.166214	0.166214	0.246814	02:19
400	0.232731	0.176469	0.176469	0.256625	02:19
401	0.229220	0.156803	0.156803	0.238694	02:19
402	0.228031	0.171772	0.171772	0.247603	02:20
403	0.231642	0.155503	0.155503	0.239466	02:18
404	0.234291	0.165109	0.165109	0.244123	02:19
405	0.238064	0.176722	0.176722	0.260945	02:20
406	0.238901	0.164213	0.164213	0.246838	02:20
407	0.226083	0.152069	0.152069	0.235941	02:19
408	0.226237	0.169681	0.169681	0.244406	02:19
409	0.229999	0.156254	0.156254	0.239961	02:19
410	0.231994	0.161245	0.161245	0.241439	02:19
411	0.221631	0.172484	0.172484	0.247309	02:19
412	0.223188	0.160933	0.160933	0.240559	02:19
413	0.224887	0.170140	0.170140	0.245769	02:20
414	0.230607	0.173567	0.173567	0.244830	02:20
415	0.229724	0.168627	0.168627	0.249246	02:20
416	0.226048	0.162447	0.162447	0.243254	02:19
417	0.226495	0.169204	0.169204	0.250637	02:19
418	0.231308	0.169814	0.169814	0.245715	02:31
419	0.231058	0.167708	0.167708	0.245244	02:19
420	0.227772	0.168310	0.168310	0.247612	02:20
421	0.227642	0.157275	0.157275	0.241512	02:20
422	0.227233	0.161654	0.161654	0.245459	02:21
423	0.225973	0.163173	0.163173	0.244366	02:24
424	0.230262	0.162057	0.162057	0.246280	02:19
425	0.228264	0.160612	0.160612	0.237470	02:19
426	0.231187	0.172843	0.172843	0.254101	02:19
427	0.229532	0.154702	0.154702	0.237010	02:24
428	0.224920	0.162197	0.162197	0.245306	02:19
429	0.225381	0.162372	0.162372	0.243672	02:19
430	0.228377	0.160639	0.160639	0.244201	02:18
431	0.229558	0.165520	0.165520	0.243579	02:19
432	0.234512	0.168741	0.168741	0.251410	02:19
433	0.229748	0.161780	0.161780	0.242167	02:20
434	0.230640	0.169314	0.169314	0.252656	02:19
435	0.227870	0.156921	0.156921	0.244415	02:18
436	0.231826	0.149807	0.149807	0.236279	02:20
437	0.224390	0.156505	0.156505	0.243091	02:19
438	0.228880	0.165581	0.165581	0.246199	02:19
439	0.224373	0.159417	0.159417	0.243147	02:18
440	0.222788	0.159556	0.159556	0.245285	02:19
441	0.225442	0.158450	0.158450	0.241422	02:19
442	0.226254	0.169590	0.169590	0.246382	02:19
443	0.223765	0.164212	0.164212	0.244644	02:19
444	0.225946	0.169732	0.169732	0.242579	02:21
445	0.226807	0.166770	0.166770	0.245808	02:20
446	0.226445	0.170867	0.170867	0.250032	02:20
447	0.226160	0.171457	0.171457	0.251422	02:19
448	0.229154	0.163293	0.163293	0.241577	02:19
449	0.228921	0.151651	0.151651	0.236907	02:22
450	0.224736	0.163117	0.163117	0.240044	02:19
451	0.223340	0.162017	0.162017	0.244066	02:19
452	0.226802	0.158474	0.158474	0.233332	02:19
453	0.225259	0.163511	0.163511	0.245507	02:20
454	0.225190	0.170153	0.170153	0.253013	02:19
455	0.224630	0.168415	0.168415	0.252332	02:19
456	0.226004	0.163750	0.163750	0.246487	02:19
457	0.224300	0.153531	0.153531	0.240667	02:20
458	0.220840	0.171841	0.171841	0.244762	02:19
459	0.219482	0.168009	0.168009	0.251431	02:20
460	0.217189	0.161828	0.161828	0.246539	02:19
461	0.221980	0.161991	0.161991	0.248302	02:19
462	0.222421	0.159566	0.159566	0.242667	02:19
463	0.223995	0.162537	0.162537	0.238281	02:19
