epoch	train_loss	valid_loss	mse	mae	time
122	0.108728	0.088018	0.088018	0.167741	03:03
123	0.104880	0.094766	0.094766	0.178615	03:03
124	0.105614	0.104386	0.104386	0.187576	03:02
125	0.104453	0.104870	0.104870	0.189464	03:04
126	0.110509	0.102221	0.102221	0.179880	03:02
127	0.109691	0.090846	0.090846	0.167283	03:00
128	0.110072	0.102355	0.102355	0.181011	02:59
129	0.105449	0.101183	0.101183	0.184299	03:00
130	0.105931	0.115167	0.115167	0.187223	03:00
131	0.110475	0.104975	0.104975	0.179028	03:00
132	0.110239	0.108767	0.108767	0.188913	03:00
133	0.110003	0.098322	0.098322	0.164470	03:02
134	0.108484	0.093779	0.093779	0.171430	03:41
135	0.106515	0.098584	0.098584	0.176206	03:50
136	0.107038	0.091827	0.091827	0.171026	04:02
137	0.099611	0.096553	0.096553	0.175368	03:45
138	0.099830	0.107180	0.107180	0.181112	03:29
139	0.103521	0.116944	0.116944	0.188877	03:29
140	0.102212	0.091002	0.091002	0.164898	03:30
141	0.104066	0.101316	0.101316	0.178007	03:38
142	0.100552	0.087874	0.087874	0.168345	03:30
143	0.101639	0.087706	0.087706	0.167448	03:31
144	0.106470	0.092022	0.092022	0.171405	03:24
145	0.103334	0.092984	0.092984	0.168510	03:01
146	0.101499	0.096814	0.096814	0.171992	03:08
147	0.100598	0.090692	0.090692	0.167493	03:14
148	0.098107	0.093554	0.093554	0.181491	03:15
149	0.100508	0.098931	0.098931	0.172489	03:31
150	0.104177	0.097810	0.097810	0.177322	03:20
151	0.099713	0.090736	0.090736	0.165082	03:17
152	0.101598	0.102834	0.102834	0.173996	03:11
153	0.099285	0.096644	0.096644	0.168352	03:35
154	0.098680	0.094742	0.094742	0.177953	03:16
155	0.101147	0.094583	0.094583	0.170426	03:03
156	0.097047	0.083144	0.083144	0.167032	03:17
157	0.096651	0.086379	0.086379	0.154396	03:01
158	0.097378	0.085827	0.085827	0.165007	03:05
159	0.094691	0.089460	0.089460	0.162813	03:04
160	0.092848	0.083669	0.083669	0.162590	03:00
161	0.095114	0.092804	0.092804	0.170506	02:59
162	0.097003	0.093834	0.093834	0.172786	02:59
163	0.096892	0.087939	0.087939	0.167840	02:51
164	0.099335	0.092430	0.092430	0.161800	02:51
165	0.095568	0.090647	0.090647	0.168135	02:51
166	0.092614	0.090286	0.090286	0.169546	02:58
167	0.093318	0.089188	0.089188	0.176428	02:51
168	0.096252	0.081276	0.081276	0.165019	03:02
169	0.092263	0.085918	0.085918	0.164110	02:56
170	0.096649	0.092291	0.092291	0.169902	02:55
171	0.093197	0.084183	0.084183	0.157852	03:17
172	0.087825	0.079382	0.079382	0.163123	03:07
173	0.091304	0.086667	0.086667	0.163198	03:02
174	0.091385	0.081204	0.081204	0.155165	03:04
175	0.091856	0.083577	0.083577	0.162341	03:03
176	0.090043	0.089545	0.089545	0.165669	03:10
177	0.086957	0.088981	0.088981	0.169266	03:09
178	0.086026	0.088078	0.088078	0.160001	03:03
179	0.084274	0.101479	0.101479	0.170768	03:22
180	0.081395	0.087450	0.087450	0.163987	03:16
181	0.081570	0.100456	0.100456	0.173639	03:03
